,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
GANDALF,0.00922145732198107,0.4899191107515618,0.04884058488459547,0.006524391237450168,0.17457338969003972
SAM,0.44118954149435324,0.27679935918305076,0.45610222780777293,0.8556897546004913,0.9045085114741627
FRODO,0.0837114885790805,0.10341049548299315,0.586573877124951,0.9171026593105782,0.9228907322284641
ARAGORN,0.7599411261982189,0.08680399160811439,0.7096682403434693,0.6430226618091189,0.967837427194206
GOLLUM,0.03922546222411091,0.23284496164533794,0.08023202595064458,0.8847406443096334,0.9698677395445697
THEODEN,0.049919556213813714,0.24283342744846997,0.19020278136789648,0.9176153775676161,0.9777589443410168
PIPPIN,0.40715372983849907,0.13893730551724645,0.8407321264238415,0.7617953273771789,0.9852126533828678
GIMLI,0.29060956854905906,0.1865303197425337,0.23134434923116154,0.9970646329346119,0.9131257702810904
BILBO,0.6159454262820182,0.1827973797450766,0.07890848513216414,0.9912400006358292,0.9652848899564036
MERRY,0.14878137738935465,0.10790299275138707,0.3296176976159411,0.2913225731072113,0.8912835322148467
FARAMIR,0.8657323907062755,0.23349527106400503,0.4598074742914343,0.07134411107895175,0.7072172976649347
DENETHOR,0.8608613688821618,0.07122104021216391,0.7046448376173984,0.028173346159361623,0.38252337533659214
TREEBEARD,0.08478463449260701,0.758665190085958,0.9476793831967685,0.9699654285552333,0.9787833862622749
ELROND,0.03607467103094948,0.24566418745933913,0.1356634707696534,0.9409299019004347,0.9368920250231566
SARUMAN,0.8456431033678073,0.24200078643110107,0.21196219473021122,0.9732203667928765,0.920221344904699
EOWYN,0.31713977022150763,0.25846888799094747,0.3473242503767144,0.9920325117994372,0.9262758029525069
BOROMIR,0.5169279110585019,0.7283566668879856,0.42112235460910236,0.4509119592653278,0.4439414260163616
LEGOLAS,0.1620890450903295,0.08590756521893099,0.0640958314232276,0.977402213460006,0.8403418556412099
GALADRIEL VOICE OVER,0.2929846119094758,0.12734953251190884,0.6764545411701864,0.7832342566777146,0.8989110599492063
EOMER,0.8655221124599792,0.032771463946011145,0.999396227620187,0.9103675694566737,0.8846019811812822
SMEAGOL,0.7511063916807241,0.22622283218133493,0.22161752634848259,0.15972005533222053,0.6193473799309895
GRIMA,0.008594803736100269,0.18693359030877704,0.3503391153280623,0.9603518211181445,0.9427996724888554
ARWEN,0.01947000463205146,0.42640527046119214,0.8396506243377105,0.9840771491255014,0.8675443824890523
STRIDER,0.4375425072117808,0.05198121606195331,0.949284260138786,0.2486893185332974,0.7485177764671429
ORC,0.9262542597199314,0.39394085048003386,0.9996091840323068,0.003353388581003052,0.3214984316355353
SOLDIER,0.07177192829515064,0.15056768984544217,0.6864876453471254,0.24128018046659355,0.6348825500060175
MADRIL,0.9913078393835125,0.2163148555364726,0.7331224692657301,0.0139513125897552,0.5376241205558332
BILBO VOICEOVER,0.03355888168299162,0.18830429129939896,0.2384120060828488,0.05343433450605959,0.7188670452469246
SARUMAN VOICE OVER,0.9530278926829402,0.009465758964811404,0.9629769557238637,0.8393921200363259,0.5853707373435619
SHAGRAT,0.21548746134270375,0.40529614764007926,0.10632858385549071,0.04466472914637788,0.3770615545373289
GAMLING,0.1190621137070214,0.01954416091926437,0.042141206201373634,0.9381822491379443,0.9295043969737419
GOTHMOG,0.9774055513277886,0.3203162484963401,0.10092783096937878,0.005758632765075869,0.6596787506275609
ELROND VOICEOVER,0.896927085735015,0.23403286681474475,0.8381034710422058,0.20012885065968042,0.8331322479375955
BARLIMAN,0.8452104072104177,0.07097329053077946,0.10553963266653126,0.13527156433576493,0.8149039679747005
MOUTH OF SAURON,0.9774055513277886,0.3203162484963401,0.10092783096937878,0.005758632765075869,0.6596787506275609
GAN DALF,0.020015827644866452,0.15137838577660412,0.1293485425140751,0.9851671769635744,0.8832180576430619
GANDALF VOICE OVER,0.5521373079438215,0.12285032301522998,0.32092995621683434,0.02952110897742055,0.7353623163452281
MERRY and PIPPIN,0.9195452482196169,0.06528775055969434,0.25800374576126406,0.7380661206786255,0.9734830061330045
GANDALF VOICEOVER,0.02554307215256014,0.193352533611576,0.7140053246022117,0.9271463161616083,0.7778118484673058
WITCH KING,0.47521372811730833,0.547473004416887,0.4847126822886981,0.31867486241409065,0.7693881189948073
KING OF THE DEAD,0.8902362169425782,0.26898503835269855,0.039319820386443334,0.8702950766990962,0.8744625401369335
SAM VOICEOVER,0.13454994588313512,0.16655307817441536,0.7077619040574062,0.09562784676060887,0.8625031922461759
UGLUK,0.7536643980482872,0.05996080558785227,0.7315009523418042,0.15851935372829495,0.7431136494101959
HAMA,0.4787521298777909,0.28203328116966964,0.2732459312855892,0.018364262960832274,0.6603755475189703
HALDIR,0.027978390916883054,0.24572112217603995,0.9082331995034394,0.7766716401135054,0.836112563686409
GALADRIEL,0.7188814347463551,0.03159754959633101,0.7972523568336976,0.8623887441676518,0.5824988719742381
SANDYMAN,0.9597865552208658,0.8747781122592346,0.9998056491844214,0.012308260327984462,0.18277240802381536
FRODO VOICE OVER,0.21352894856514065,0.02890967716844715,0.9922865413109758,0.19952077807175272,0.7852952938675326
MORWEN,0.9555266969860915,0.007613124595427977,0.12982694418699622,0.02202068968818091,0.5228119748705924
