,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
GANDALF,1.4689768842071465e-07,0.1446855002429833,1.6841183018669058e-05,0.00012168782956626308,0.01572829164611754
SAM,0.9332322955003649,0.0054785621606024335,0.7838016039722043,0.9967507357686755,0.9999591460675903
FRODO,0.009560195527209086,1.464651474311039e-05,0.4222300689949818,0.9997303659429194,0.9999574720099671
ARAGORN,0.9890531433364493,4.441965463385913e-06,0.9413978859415775,0.18117788995713757,0.9999985905894881
GOLLUM,1.3197512611478643e-07,6.87792776692974e-05,0.03124495609827844,0.9997585662024493,0.9999211894643178
THEODEN,3.6321126427086686e-07,0.016501606110299234,0.0016114626420038955,0.9833436230464183,0.9998766417858933
PIPPIN,0.10387251084468066,2.6967879283749375e-05,0.9979496498324515,0.9773665129620408,0.9999940075033591
GIMLI,0.10289108452272569,0.02703454956062997,0.0045717642313113215,0.9999978472767959,0.9976338802286598
BILBO,0.28738529122317424,0.004733490205178618,0.0007596159040898082,0.9999999078466522,0.9993457057671732
MERRY,0.002771255456290621,5.392798404566958e-06,0.270111357009602,0.2798375880118674,0.9999138620311415
FARAMIR,0.9997948907470807,0.06182833737258332,0.6685786232711367,0.026701249593469444,0.9972106023053884
DENETHOR,0.9999242070385321,1.5114934267862924e-06,0.9466111590436228,0.0021405901502013778,0.8014903171086271
TREEBEARD,8.828593278501221e-05,0.7653148742058938,0.9999999810887381,0.9999971657874582,0.999904595420098
ELROND,1.2104903033684788e-06,0.0011511355610353015,0.0014516825370572838,0.9990169682811689,0.9999330779913562
SARUMAN,0.9763712523245657,0.10647074416227917,0.0004815844520090837,0.9741346793466317,0.990560281977286
EOWYN,0.40259877418635337,0.001313238717041278,0.006425106502565582,0.99999539484549,0.9999785797694101
BOROMIR,0.8958681287076884,0.7905968575427044,0.12552129590376343,0.00013309465453738593,0.8181623595007419
LEGOLAS,0.023556077932489428,0.0003900213369827322,5.779752300786176e-05,0.9884956584806343,0.9840450975213472
GALADRIEL VOICE OVER,0.15242424828704315,0.002857287413633283,0.9449276249310128,0.009519892096514193,0.9994570596916803
EOMER,0.9992504887364271,1.3068374821140983e-08,0.9999999999997563,0.9960775797017991,0.9994805642319105
SMEAGOL,0.9987370867402257,0.0011846935845523459,0.0005602045105164165,0.0002407387680535489,0.936217360766431
GRIMA,2.0985410079706207e-07,2.6734615528180263e-05,0.21077559893212278,0.9956245289504523,0.9983057009540515
ARWEN,4.475174403600264e-07,0.057932573182373805,0.99412240189987,0.9998596985360505,0.9981729661648308
STRIDER,0.6780245590332974,2.4023696786340704e-08,0.9999671672316556,0.00033289912484177136,0.9675772500510442
ORC,0.9999999087529556,0.21098212138809078,1.0,4.898597702113103e-09,0.7460472509164844
SOLDIER,4.466278221113135e-05,3.220302224506265e-05,0.731517978457909,0.00011410322879584992,0.8775428248609117
MADRIL,0.9999999977145299,0.04303395345087055,0.9404047984492261,6.452244760244024e-05,0.710282834541628
BILBO VOICEOVER,8.802532534102386e-06,8.69557612801349e-06,0.0017314004867307314,7.954670250471432e-08,0.9508976760501314
SARUMAN VOICE OVER,0.9999999995393078,5.54117951222838e-11,0.9999990571975271,0.9509016745915947,0.9619057073580303
SHAGRAT,0.458360427556704,0.682325065344158,1.7392718944391015e-05,0.00020456622358489457,0.3068304432793819
GAMLING,0.00011032980579464208,1.6382372402780465e-07,1.0071878491396819e-05,0.9556479062670558,0.9998038949210214
GOTHMOG,0.9999999971936141,0.29681883425002475,3.4928327655613728e-06,3.3184397386486047e-06,0.9295610025446474
ELROND VOICEOVER,0.9997602037059268,0.26628063011392,0.9951231852792987,0.5275892397294322,0.9919822690984649
BARLIMAN,0.9995491539708391,3.2524757571911445e-08,6.804727641486618e-05,0.7044434301537176,0.9643271960710604
MOUTH OF SAURON,0.9999999971936141,0.29681883425002475,3.4928327655613728e-06,3.3184397386486047e-06,0.9295610025446474
GAN DALF,7.410862271263691e-09,0.006655670232977905,0.052327043762135005,0.9999808685490796,0.9645252556055148
GANDALF VOICE OVER,0.9193879066699585,0.00020543235255149355,5.136117795582016e-05,0.01083788211766298,0.9917498568805877
MERRY and PIPPIN,0.9810186336630023,4.843866966014843e-05,3.6932029173457844e-05,0.888744476452963,0.9999936629928504
GANDALF VOICEOVER,4.881593455722936e-06,0.00032679829807110637,0.8330838334236734,0.7909405943168653,0.9613682881753141
WITCH KING,0.8448989125753797,0.5963907518942467,0.5139942129799077,0.12044023851806356,0.9720923435848036
KING OF THE DEAD,0.9999998364436378,0.0028429481369039123,6.679649359877602e-07,0.9743237818590149,0.9983622587876336
SAM VOICEOVER,0.16702971525038596,2.091375653300596e-05,0.7065716041999682,0.13089962106839542,0.9997427449106965
